name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mali,MLI,2,2,2,2,2,2,2,2,4,6,6,8,8,8,8,8,8,8,12,14,16,20,22,24,24,30,34,38,40,42,48,52,52,56,56,58,60,60,62,66,68,68,72
"Marshall Islands, Rep. of the",MHL,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,8,10,10,10,12,12,12,12,14
"Mauritania, Islamic Rep. of",MRT,2,2,2,2,4,6,6,6,6,6,6,8,8,10,10,12,12,14,14,20,20,24,26,28,28,30,34,38,38,40,44,46,46,48,48,48,48,52,54,56,62,62,64
Mauritius,MUS,0,0,4,6,6,6,6,6,6,8,8,10,10,10,12,12,14,14,14,18,18,18,20,20,20,20,20,22,22,22,22,22,22,24,24,24,24,24,26,26,26,26,28
Mexico,MEX,4,6,12,18,22,22,24,28,38,42,48,54,60,74,74,88,100,112,130,144,156,168,182,198,204,218,232,246,252,266,282,304,308,318,330,338,352,362,368,380,394,414,424
"Micronesia, Federated States of",FSM,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,8,10,12,12,12,12,14,14,14,14,14,14,14,16,18,18,18,20,20,20,20
"Moldova, Rep. of",MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,8,12,12,14,14,14,18,18,20,22,22,24,24,28,28,28,28,28,28,28,30,30,30,30
Mongolia,MNG,0,0,2,2,2,2,4,4,4,4,8,10,10,12,14,14,18,18,18,18,24,26,30,32,32,32,32,32,34,38,38,38,38,38,38,40,42,44,50,56,64,68,72
Montenegro,MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,8,10,10,10,10,10,12,12,12,12,12,12
Montserrat,MSR,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Morocco,MAR,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,12,16,18,18,20,26,28,30,32,32,34,40,40,44,48,52,52,54,54,60,60,62,66,68,74,74,78,78
"Mozambique, Rep. of",MOZ,0,4,4,4,6,10,10,12,14,16,18,18,18,18,20,20,22,26,30,32,42,50,54,64,64,70,70,82,90,94,98,104,110,112,116,118,126,128,132,142,148,154,162
Myanmar,MMR,0,2,4,4,4,4,4,4,4,4,4,6,8,8,10,12,12,14,14,16,16,18,20,20,22,24,28,36,38,40,44,46,48,52,56,68,78,82,90,96,100,102,102
Namibia,NAM,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,8,8,10,12,14,16,20,20,24,26,28,30,32,34,36,40,40,42,42,44,46,46,48,50,50
Nepal,NPL,0,4,6,10,12,14,18,20,26,28,30,34,36,40,40,46,52,54,58,62,64,66,70,74,76,82,90,92,96,106,110,122,128,132,144,148,154,160,164,168,170,178,186
Netherlands Antilles,ANT,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Netherlands, The",NLD,0,0,0,0,2,4,6,6,6,6,18,18,20,22,24,26,26,28,32,32,32,32,34,36,36,42,44,46,48,48,50,50,52,58,58,58,60,60,64,66,68,72,74
